,Court,Surface,round,Best of,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,hand_player1,height_player1,hand_player2,height_player2,age_player1,age_player2,T,Y
9945,Indoor,Clay,2,3,100,85,600,676,2.5,1.5,R,185.0,L,190.0,27,29,1,0
9946,Indoor,Clay,2,3,63,182,832,277,1.4,2.75,R,180.0,R,185.0,26,19,1,1
9947,Outdoor,Hard,1,3,44,124,1050,445,1.44,2.62,R,188.0,R,203.0,25,34,1,0
9948,Outdoor,Hard,1,3,81,134,700,412,2.25,1.57,R,188.0,R,190.0,22,33,1,1
9949,Outdoor,Hard,1,3,72,57,739,894,2.05,1.7,R,175.0,L,180.0,30,34,1,0
9952,Outdoor,Hard,1,3,72,57,739,894,2.05,1.7,R,175.0,R,185.0,30,23,1,0
9954,Outdoor,Hard,1,3,36,13,1279,2265,2.62,1.44,R,183.0,R,170.0,21,28,1,1
9955,Outdoor,Hard,1,3,101,269,577,172,1.95,1.8,R,180.0,R,178.0,27,25,0,0
9956,Outdoor,Hard,1,3,100,225,584,220,1.36,3.0,R,188.0,R,196.0,21,20,0,1
9957,Outdoor,Hard,2,3,10,33,2555,1320,1.44,2.62,R,180.0,R,188.0,29,23,0,0
9958,Outdoor,Hard,2,3,24,61,1510,850,1.33,3.25,R,193.0,R,181.0,22,31,1,0
9959,Outdoor,Hard,2,3,55,20,923,1771,3.0,1.36,R,188.0,R,193.0,29,20,1,0
9960,Outdoor,Hard,2,3,25,16,1500,2120,2.2,1.61,R,188.0,R,198.0,29,24,1,0
9961,Outdoor,Hard,2,3,34,17,1315,2075,2.37,1.53,R,193.0,L,185.0,30,21,0,0
9962,Outdoor,Hard,2,3,1,72,10220,739,1.07,9.0,R,188.0,R,175.0,33,30,0,0
9963,Outdoor,Hard,3,3,21,6,1760,4745,3.5,1.28,R,206.0,R,193.0,35,22,1,0
9964,Outdoor,Hard,4,3,30,6,1350,4745,2.37,1.57,R,196.0,R,193.0,29,22,0,1
9965,Outdoor,Clay,1,3,159,70,341,772,1.5,2.5,R,191.0,R,175.0,24,30,1,1
9966,Outdoor,Clay,1,3,337,85,118,695,1.66,2.1,L,191.0,R,183.0,25,27,0,0
9967,Outdoor,Clay,2,3,81,13,705,2265,2.37,1.53,R,188.0,R,170.0,25,28,0,1
