,surface,best_of,Round,player_hand,player_ht,player_age,player_rank,opponent_hand,opponent_ht,opponent_age,opponent_rank,log_rank_difference,T,Y
2074,Clay,3,3,R,188.0,27.4,26.0,R,180.0,24.8,62.0,-1.2537565922457823,1,1
2078,Hard,3,5,R,188.0,27.3,7.0,L,198.0,22.5,134.0,-4.258734268400168,1,1
2082,Hard,3,2,R,178.0,26.8,158.0,R,178.0,20.0,603.0,-1.9322334437229811,1,0
2134,Clay,3,2,L,185.0,22.8,46.0,R,180.0,20.2,90.0,-0.9682911402726617,1,1
2156,Hard,3,2,R,188.0,20.0,157.0,R,188.0,21.7,85.0,0.8852298127539253,0,0
2160,Hard,3,2,L,188.0,29.2,43.0,R,180.0,32.5,77.0,-0.8405217859928031,1,1
2168,Hard,3,2,R,180.0,17.8,100.0,R,190.0,23.7,75.0,0.41503749927884304,1,0
2171,Hard,3,2,R,175.0,21.3,48.0,R,183.0,19.9,45.0,0.0931094043914813,1,0
2185,Hard,3,2,R,183.0,22.5,191.0,R,175.0,25.2,335.0,-0.8105884573093869,0,0
2194,Hard,3,4,R,185.0,22.3,14.0,R,188.0,26.8,25.0,-0.8365012677171202,0,1
2200,Clay,3,2,R,188.0,28.4,98.0,R,180.0,21.5,62.0,0.6605135337283334,1,0
2209,Clay,3,2,R,188.0,25.4,81.0,R,193.0,27.3,93.0,-0.19930880822340669,1,0
2210,Hard,3,5,R,183.0,28.0,16.0,L,185.0,29.1,54.0,-1.7548875021634682,1,1
2223,Hard,3,4,R,185.0,23.3,8.0,R,193.0,29.2,180.0,-4.491853096329675,1,1
2226,Hard,3,4,R,188.0,30.0,76.0,R,193.0,22.6,21.0,1.8556100906648245,1,0
2261,Grass,3,2,R,183.0,25.3,306.0,R,183.0,26.3,286.0,0.0975165059142622,1,1
2264,Hard,3,2,R,183.0,25.3,61.0,R,175.0,23.2,255.0,-2.063616099295971,1,0
2275,Hard,3,2,R,178.0,18.0,62.0,R,185.0,24.4,88.0,-0.5052353082504224,1,1
2276,Carpet,3,2,R,183.0,31.4,182.0,L,190.0,20.7,104.0,0.8073549220576037,1,1
2290,Carpet,3,2,L,188.0,27.8,153.0,L,183.0,29.1,204.0,-0.41503749927884304,0,0
2299,Hard,3,2,L,175.0,27.6,204.0,R,193.0,19.7,271.0,-0.40972369938237563,0,0
2303,Hard,3,2,R,190.0,26.3,57.0,R,193.0,27.0,14.0,2.025535092107137,1,1
2305,Hard,3,2,R,190.0,27.7,172.0,R,180.0,23.6,272.0,-0.6611980865482412,0,1
2306,Hard,3,2,R,190.0,25.1,24.0,R,185.0,31.6,96.0,-2.0,0,0
2312,Hard,3,2,R,196.0,22.5,12.0,R,183.0,24.0,47.0,-1.9696263509564815,0,0
2319,Clay,3,2,R,174.0,19.0,1239.0,R,188.0,18.3,419.0,1.5641540384412504,0,0
2331,Hard,3,2,R,193.0,20.7,741.0,R,178.0,29.1,509.0,0.5418078862301385,1,1
2339,Hard,3,5,R,193.0,22.2,53.0,R,196.0,18.7,149.0,-1.4912480658989624,1,1
2347,Hard,3,2,R,196.0,21.3,248.0,L,188.0,21.6,426.0,-0.7805133098389625,1,1
2349,Hard,3,4,R,188.0,22.9,50.0,R,188.0,21.6,58.0,-0.2141248053528475,1,0
2355,Hard,3,1,R,180.0,35.4,65.0,L,188.0,23.0,28.0,1.2150128909708506,0,0
2368,Hard,3,2,R,178.0,17.2,141.0,R,183.0,19.6,135.0,0.06273575534796283,0,1
2372,Carpet,3,2,R,183.0,24.5,8.0,R,183.0,25.4,13.0,-0.7004397181410922,1,0
2384,Grass,3,2,L,178.0,17.6,340.0,R,185.0,25.2,431.0,-0.3421531229513963,0,1
2388,Clay,3,2,R,173.0,35.3,114.0,L,190.0,24.8,169.0,-0.5679894221174431,1,0
2393,Carpet,3,2,R,178.0,19.7,231.0,R,190.0,26.1,270.0,-0.22506655563477462,0,0
2399,Carpet,3,2,R,183.0,22.3,134.0,L,188.0,20.8,147.0,-0.13358315437859236,0,0
2400,Hard,3,2,L,180.0,24.4,146.0,R,185.0,26.0,72.0,1.0198995574377054,0,0
2403,Hard,3,2,R,183.0,22.3,159.0,R,193.0,31.2,285.0,-0.8419351537677491,0,1
2412,Hard,3,2,R,190.0,22.8,105.0,R,178.0,26.7,26.0,2.01380579952503,1,0
2422,Hard,3,2,R,188.0,20.7,159.0,R,175.0,30.6,126.0,0.33560303178443895,0,1
2425,Hard,3,2,R,178.0,25.0,188.0,R,185.0,21.1,231.0,-0.2971601897384195,1,0
2429,Hard,3,2,R,185.0,26.8,16.0,R,198.0,22.2,11.0,0.5405683813627027,0,0
2432,Hard,3,2,R,190.0,22.9,55.0,R,175.0,26.8,11.0,2.3219280948873626,1,1
2435,Hard,3,2,R,190.0,27.1,35.0,R,180.0,24.4,8.0,2.1292830169449664,0,0
2438,Hard,3,4,L,188.0,26.0,42.0,R,175.0,25.5,7.0,2.5849625007211565,1,1
2481,Hard,3,3,R,191.0,25.1,151.0,R,188.0,23.9,239.0,-0.6624620686556701,1,0
2507,Grass,3,2,R,185.0,18.5,201.0,R,185.0,25.0,199.0,0.014427070635280259,0,1
2529,Hard,3,2,R,185.0,23.5,104.0,R,185.0,22.0,20.0,2.37851162325373,0,0
2536,Carpet,3,2,L,180.0,32.5,102.0,L,193.0,30.6,185.0,-0.8589561185448167,1,1
2552,Hard,3,2,R,180.0,22.7,10.0,R,193.0,20.1,34.0,-1.765534746362977,1,1
2558,Hard,3,2,R,185.0,24.8,46.0,R,180.0,24.7,4.0,3.523561956057013,1,0
2576,Hard,3,5,L,185.0,30.4,77.0,R,185.0,33.0,28.0,1.4594316186372973,0,0
2587,Hard,3,3,R,191.0,20.4,354.0,R,178.0,24.0,286.0,0.3077342133046077,0,0
2592,Hard,3,5,R,188.0,21.9,45.0,R,183.0,31.7,4.0,3.4918530963296748,1,0
2635,Hard,3,2,R,183.0,23.2,101.0,R,185.0,21.2,162.0,-0.6816385201328297,0,1
2655,Carpet,3,2,R,180.0,26.0,130.0,R,190.0,25.5,96.0,0.4374053123072983,1,0
